Date,Price,Open,High,Low,Vol.,Change %
"Oct 09, 2017",28326.59,28440.17,28488.35,28282.01,1.80B,-0.46
"Oct 06, 2017",28458.04,28626.41,28626.41,28377.85,2.03B,0.28
"Oct 04, 2017",28379.18,28311.27,28521.77,28311.27,2.16B,0.73
"Oct 03, 2017",28173.21,27884.21,28194.16,27737.38,3.54B,2.25
"Sep 29, 2017",27554.30,27492.13,27581.13,27383.16,1.72B,0.48
"Sep 28, 2017",27421.60,27661.27,27665.16,27421.60,2.03B,-0.80
"Sep 27, 2017",27642.43,27503.05,27673.40,27503.05,1.87B,0.47
"Sep 26, 2017",27513.01,27308.61,27567.88,27300.37,1.74B,0.05
"Sep 25, 2017",27500.34,27851.54,27851.54,27476.27,1.86B,-1.36
"Sep 22, 2017",27880.53,27949.83,27960.92,27845.52,1.42B,-0.82
"Sep 21, 2017",28110.33,28091.24,28184.37,28046.94,1.68B,-0.06
"Sep 20, 2017",28127.80,28099.29,28149.36,28013.11,1.54B,0.27
"Sep 19, 2017",28051.41,28200.54,28248.12,28032.17,1.65B,-0.38
"Sep 18, 2017",28159.77,27971.37,28160.39,27917.18,1.59B,1.27
"Sep 15, 2017",27807.59,27736.60,27893.58,27514.04,2.23B,0.11
"Sep 14, 2017",27777.20,27788.84,27895.07,27699.09,1.70B,-0.42
"Sep 13, 2017",27894.08,27984.27,27984.27,27751.28,1.48B,-0.28
"Sep 12, 2017",27972.24,28068.70,28071.54,27883.83,1.35B,0.06
"Sep 11, 2017",27955.13,27877.69,27976.98,27859.00,1.42B,1.04
"Sep 08, 2017",27668.47,27571.59,27708.09,27569.13,1.46B,0.53
"Sep 07, 2017",27522.92,27817.87,27817.87,27492.82,1.83B,-0.33
"Sep 06, 2017",27613.76,27671.56,27684.26,27421.79,1.72B,-0.46
"Sep 05, 2017",27741.35,27797.44,27871.76,27685.30,1.28B,0.00
"Sep 04, 2017",27740.26,27881.71,27884.46,27662.29,1.68B,-0.76
"Sep 01, 2017",27953.16,28015.22,28116.70,27915.44,1.81B,-0.06
"Aug 31, 2017",27970.30,27934.45,27994.06,27861.48,2.88B,-0.44
"Aug 30, 2017",28094.61,27957.74,28127.90,27912.82,2.21B,1.19
"Aug 29, 2017",27765.01,27744.58,27839.83,27638.73,1.77B,-0.35
"Aug 28, 2017",27863.29,27905.59,28071.59,27806.05,3.11B,0.05
"Aug 25, 2017",27848.16,27539.11,27878.37,27480.11,3.91B,1.20
"Aug 24, 2017",27518.60,27642.23,27642.23,27485.87,2.77B,0.05
"Aug 23, 2017",27506.00,27555.00,27558.00,27462.00,0.00,0.38
"Aug 22, 2017",27401.67,27322.20,27509.06,27316.08,2.11B,0.91
"Aug 21, 2017",27154.68,27100.63,27221.31,27086.43,1.83B,0.40
"Aug 18, 2017",27047.57,26999.60,27236.32,26951.92,1.74B,-1.08
"Aug 17, 2017",27344.22,27610.29,27624.52,27302.48,1.85B,-0.24
"Aug 16, 2017",27409.07,27238.81,27422.30,27238.81,1.83B,0.86
"Aug 15, 2017",27174.96,27371.25,27438.42,27174.96,2.82B,-0.28
"Aug 14, 2017",27250.23,27091.77,27268.23,27032.40,1.46B,1.36
"Aug 11, 2017",26883.51,27000.43,27184.21,26863.71,3.23B,-2.04
"Aug 10, 2017",27444.00,27791.36,27791.36,27267.03,2.24B,-1.13
"Aug 09, 2017",27757.09,27760.08,27876.12,27602.66,1.70B,-0.35
"Aug 08, 2017",27854.91,27684.60,27867.56,27626.19,1.78B,0.59
"Aug 07, 2017",27690.36,27665.71,27731.92,27629.20,1.53B,0.46
"Aug 04, 2017",27562.68,27564.71,27615.03,27508.11,1.51B,0.12
"Aug 03, 2017",27531.01,27533.51,27601.05,27399.58,1.73B,-0.28
"Aug 02, 2017",27607.38,27645.28,27747.35,27570.50,2.12B,0.24
"Aug 01, 2017",27540.23,27326.04,27558.00,27326.04,2.47B,0.79
"Jul 31, 2017",27323.99,27048.45,27324.38,27045.41,1.75B,1.28
"Jul 28, 2017",26979.39,27007.97,27047.88,26928.44,1.50B,-0.56
"Jul 27, 2017",27131.17,27002.70,27169.15,26962.03,1.82B,0.71
"Jul 26, 2017",26941.02,26960.81,27007.27,26786.63,2.24B,0.33
"Jul 25, 2017",26852.05,26847.58,26889.70,26799.77,1.50B,0.02
"Jul 24, 2017",26846.83,26720.04,26882.00,26674.50,1.58B,0.53
"Jul 21, 2017",26706.09,26777.44,26778.42,26663.25,1.55B,-0.13
"Jul 20, 2017",26740.21,26770.48,26794.18,26632.98,1.45B,0.26
"Jul 19, 2017",26672.16,26561.81,26682.64,26541.56,1.39B,0.56
"Jul 18, 2017",26524.94,26489.52,26540.17,26381.14,1.93B,0.21
"Jul 17, 2017",26470.58,26572.92,26618.66,26353.83,1.89B,0.31
