Date,Price,Open,High,Low,Vol.,Change %
"Nov 02, 2017",22539.12,22512.18,22540.25,22400.01,1.09B,0.53
"Nov 01, 2017",22420.08,22144.92,22455.92,22130.03,1.16B,1.86
"Oct 31, 2017",22011.61,21897.29,22020.38,21840.07,1.06B,0.00
"Oct 30, 2017",22011.67,22047.95,22086.88,21921.24,1.40B,-0.20
"Oct 29, 2017",22055.00,22055.00,22057.50,22055.00,0.00,0.21
"Oct 27, 2017",22008.45,21903.27,22016.50,21815.72,1.24B,1.24
"Oct 26, 2017",21739.78,21698.95,21793.62,21688.56,851.78M,0.15
"Oct 25, 2017",21707.62,21900.13,21921.36,21648.35,1.26B,-0.45
"Oct 24, 2017",21805.17,21670.00,21805.17,21646.52,909.35M,0.50
"Oct 23, 2017",21696.65,21709.30,21723.60,21614.51,901.47M,-0.19
"Oct 22, 2017",21737.50,21740.00,21742.50,21737.50,0.00,1.30
"Oct 20, 2017",21457.64,21390.95,21489.26,21363.10,883.84M,0.04
"Oct 19, 2017",21448.52,21450.04,21503.85,21381.52,872.21M,0.40
"Oct 18, 2017",21363.05,21374.66,21402.76,21317.67,749.50M,0.13
"Oct 17, 2017",21336.12,21352.17,21393.96,21230.67,953.06M,0.38
"Oct 16, 2017",21255.56,21221.27,21347.07,21187.93,1.06B,0.10
"Oct 15, 2017",21235.00,21237.50,21237.50,21235.00,0.00,0.38
"Oct 13, 2017",21155.18,20959.66,21211.29,20933.00,1.14B,0.96
"Oct 12, 2017",20954.72,20958.18,20994.40,20917.04,828.76M,0.35
"Oct 11, 2017",20881.27,20803.71,20898.41,20788.12,826.59M,0.28
"Oct 10, 2017",20823.51,20680.54,20823.66,20663.08,807.15M,0.64
"Oct 06, 2017",20690.71,20716.85,20721.15,20659.15,781.86M,0.30
"Oct 05, 2017",20628.56,20650.71,20667.47,20602.26,590.57M,0.01
"Oct 04, 2017",20626.66,20660.81,20689.08,20592.18,758.47M,0.06
"Oct 03, 2017",20614.07,20475.25,20628.38,20438.17,749.77M,1.05
"Oct 02, 2017",20400.78,20400.51,20411.33,20363.28,697.04M,0.02
"Oct 01, 2017",20397.50,20387.50,20397.50,20387.50,0.00,0.20
"Sep 29, 2017",20356.28,20315.34,20370.33,20285.06,876.67M,-0.03
"Sep 28, 2017",20363.11,20398.63,20399.87,20299.68,865.99M,0.47
"Sep 27, 2017",20267.05,20269.82,20278.09,20213.66,655.94M,-0.31
"Sep 26, 2017",20330.19,20349.26,20385.50,20303.98,978.61M,-0.33
"Sep 25, 2017",20397.58,20439.43,20454.29,20367.03,854.46M,-0.15
"Sep 24, 2017",20427.50,20427.50,20427.50,20425.00,0.00,0.65
"Sep 22, 2017",20296.45,20413.61,20417.07,20249.24,984.15M,-0.25
"Sep 21, 2017",20347.48,20456.50,20481.27,20332.69,1.19B,0.18
"Sep 20, 2017",20310.46,20301.33,20339.37,20272.82,1.04B,0.05
"Sep 19, 2017",20299.38,20128.18,20320.78,20122.00,1.25B,0.86
"Sep 18, 2017",20126.00,20129.00,20129.00,20126.00,0.00,1.09
"Sep 15, 2017",19909.50,19793.80,19933.40,19787.65,1.15B,0.52
"Sep 14, 2017",19807.44,19860.37,19918.39,19793.85,966.18M,-0.29
"Sep 13, 2017",19865.82,19873.69,19888.84,19845.02,871.09M,0.45
"Sep 12, 2017",19776.62,19736.14,19792.06,19718.80,926.53M,1.18
"Sep 11, 2017",19545.77,19441.39,19567.03,19437.14,811.39M,0.57
"Sep 10, 2017",19435.00,19435.00,19435.00,19435.00,0.00,0.83
"Sep 08, 2017",19274.82,19297.96,19357.49,19239.52,1.10B,-0.63
"Sep 07, 2017",19396.52,19433.44,19482.72,19365.75,843.69M,0.20
"Sep 06, 2017",19357.97,19286.06,19371.38,19254.67,911.72M,-0.14
"Sep 05, 2017",19385.81,19533.38,19542.78,19354.59,800.23M,-0.63
"Sep 04, 2017",19508.25,19615.96,19628.40,19479.40,738.55M,-0.48
"Sep 03, 2017",19601.50,19601.50,19601.50,19601.50,0.00,-0.46
"Sep 01, 2017",19691.47,19733.57,19735.96,19620.07,819.09M,0.23
"Aug 31, 2017",19646.24,19591.32,19687.99,19583.11,1.01B,0.72
"Aug 30, 2017",19506.54,19480.98,19538.23,19435.10,945.91M,0.74
"Aug 29, 2017",19362.55,19319.11,19371.90,19280.02,772.63M,-0.45
"Aug 28, 2017",19449.90,19502.23,19535.50,19420.50,715.93M,-0.18
"Aug 27, 2017",19485.00,19480.00,19485.00,19477.50,0.00,0.17
"Aug 25, 2017",19452.61,19401.12,19485.97,19384.37,728.55M,0.51
"Aug 24, 2017",19353.77,19366.36,19428.55,19351.92,777.39M,-0.42
"Aug 23, 2017",19434.64,19547.05,19561.32,19408.47,809.46M,0.26
"Aug 22, 2017",19383.84,19373.11,19437.25,19361.95,726.90M,-0.05
"Aug 21, 2017",19393.13,19509.53,19509.53,19365.65,776.36M,-0.60
"Aug 20, 2017",19510.00,19510.00,19510.00,19510.00,0.00,0.20
"Aug 18, 2017",19470.41,19471.27,19543.13,19433.09,986.82M,-1.18
"Aug 17, 2017",19702.63,19707.75,19739.04,19679.37,741.01M,-0.14
"Aug 16, 2017",19729.28,19750.55,19776.86,19719.08,715.40M,-0.12
"Aug 15, 2017",19753.31,19689.38,19824.12,19656.91,930.70M,1.11
"Aug 14, 2017",19537.10,19545.58,19598.41,19486.48,1.12B,-0.10
"Aug 13, 2017",19556.00,19555.00,19558.50,19555.00,0.00,-0.88
"Aug 10, 2017",19729.74,19792.45,19829.88,19685.83,1.07B,-0.05
"Aug 09, 2017",19738.71,19928.96,19945.28,19660.22,1.08B,-1.29
"Aug 08, 2017",19996.01,20062.65,20076.80,19970.57,829.08M,-0.30
"Aug 07, 2017",20055.89,20059.29,20085.90,20037.40,776.31M,-0.07
"Aug 06, 2017",20069.00,20068.00,20069.00,20068.00,0.00,0.58
"Aug 04, 2017",19952.33,19949.79,19984.51,19933.59,789.01M,-0.38
"Aug 03, 2017",20029.26,20066.00,20070.16,19985.40,921.11M,-0.25
"Aug 02, 2017",20080.04,20057.07,20113.73,20022.05,986.34M,0.47
"Aug 01, 2017",19985.79,19907.08,20000.46,19904.72,1.13B,0.30
"Jul 31, 2017",19925.18,19933.45,19983.90,19891.90,1.45B,-0.14
"Jul 30, 2017",19953.50,19953.50,19953.50,19953.50,0.00,-0.03
"Jul 28, 2017",19959.84,20048.46,20056.16,19926.60,1.12B,-0.60
"Jul 27, 2017",20079.64,20026.58,20176.39,20005.20,926.96M,0.15
"Jul 26, 2017",20050.16,20098.14,20116.00,20016.58,880.73M,0.48
"Jul 25, 2017",19955.20,19979.56,20036.31,19941.61,723.42M,-0.10
"Jul 24, 2017",19975.67,19973.67,20002.54,19901.88,837.92M,0.03
"Jul 23, 2017",19970.00,19967.50,19970.00,19967.50,0.00,-0.65
"Jul 21, 2017",20099.75,20089.86,20135.33,20081.91,810.92M,-0.22
"Jul 20, 2017",20144.59,20046.90,20157.11,20032.23,833.19M,0.62
"Jul 19, 2017",20020.86,19970.78,20032.46,19947.26,837.01M,0.10
"Jul 18, 2017",19999.91,20074.41,20081.29,19943.14,963.16M,-0.32
"Jul 17, 2017",20063.50,20063.50,20063.50,20063.50,0.00,-0.28
"Jul 14, 2017",20118.86,20157.92,20163.67,20101.71,857.01M,0.09
"Jul 13, 2017",20099.81,20177.28,20183.80,20062.27,932.86M,0.01
"Jul 12, 2017",20098.38,20137.22,20153.04,20061.16,839.36M,-0.48
"Jul 11, 2017",20195.48,20073.86,20200.88,20070.67,796.97M,0.57
"Jul 10, 2017",20080.98,20070.44,20127.76,20023.03,883.71M,0.76
"Jul 07, 2017",19929.09,19856.65,19979.93,19856.65,946.99M,-0.32
"Jul 06, 2017",19994.06,20061.68,20078.88,19947.63,955.81M,-0.44
"Jul 05, 2017",20081.63,20015.07,20087.01,19888.90,974.51M,0.25
"Jul 04, 2017",20032.35,20192.27,20197.16,19971.53,1.03B,-0.12
"Jul 03, 2017",20055.80,20056.32,20096.14,20030.61,859.51M,0.06
"Jul 02, 2017",20044.00,20046.50,20051.50,20044.00,0.00,0.05
"Jun 30, 2017",20033.43,20025.63,20044.01,19946.51,1.20B,-0.92
"Jun 29, 2017",20220.30,20260.87,20266.59,20197.38,1.23B,0.45
"Jun 28, 2017",20130.41,20149.20,20224.30,20110.49,1.19B,-0.47
"Jun 27, 2017",20225.09,20229.12,20250.10,20185.19,930.62M,0.36
"Jun 26, 2017",20153.35,20132.81,20196.38,20119.04,793.88M,0.18
"Jun 25, 2017",20118.00,20118.00,20118.00,20118.00,0.00,-0.07
