Date,Price,Open,High,Low,Vol.,Change %
"Dec 27, 2017",282295.31,282295.31,282295.31,282295.31,1.32M,0.11
"Dec 22, 2017",281979.50,281979.5,281979.5,281979.5,0,1.48
"Dec 21, 2017",277858.41,277858.41,277858.41,277858.41,0,-0.69
"Dec 20, 2017",279798.69,279798.69,279798.69,279798.69,1.81M,0.63
"Dec 19, 2017",278040.41,278040.41,278040.41,278040.41,2.31M,0.21
"Dec 18, 2017",277465.00,277465,277465,277465,8.45M,-0.08
"Dec 15, 2017",277681.91,277681.91,277681.91,277681.91,52.43M,0.27
"Dec 14, 2017",276930.41,276930.41,276930.41,276930.41,3.83M,-0.53
"Dec 13, 2017",278401.41,278401.41,278401.41,278401.41,868.06K,0.98
"Dec 12, 2017",275710.09,275710.09,275710.09,275710.09,1.75M,0.33
"Dec 11, 2017",274790.00,274790,274790,274790,3.39M,-0.85
"Dec 08, 2017",277159.19,277159.19,277159.19,277159.19,581.43K,0.2
"Dec 07, 2017",276608.41,276608.41,276608.41,276608.41,714.98K,-0.31
"Dec 06, 2017",277480.09,277480.09,277480.09,277480.09,9.89M,0.57
"Dec 05, 2017",275920.59,275920.59,275920.59,275920.59,2.99M,-0.35
"Dec 04, 2017",276888.59,276888.59,276888.59,276888.59,5.04M,0.51
"Dec 01, 2017",275483.69,275483.69,275483.69,275483.69,2.77M,0.1
"Nov 30, 2017",275202.09,275202.09,275202.09,275202.09,5.20M,-0.67
"Nov 29, 2017",277055.31,277055.31,277055.31,277055.31,13.18M,-0.53
"Nov 28, 2017",278536.50,278536.5,278536.5,278536.5,3.57M,-0.29
"Nov 27, 2017",279355.31,279355.31,279355.31,279355.31,19.19M,-0.98
"Nov 24, 2017",282114.09,282114.09,282114.09,282114.09,10.39M,-0.68
"Nov 23, 2017",284055.59,284055.59,284055.59,284055.59,4.35M,-1.34
"Nov 17, 2017",287901.50,287901.5,287901.5,287901.5,6.56M,0.77
"Nov 16, 2017",285693.00,285693,285693,285693,3.76M,-1.09
"Nov 15, 2017",288853.50,288853.5,288853.5,288853.5,8.13M,-0.72
"Nov 14, 2017",290958.19,290958.19,290958.19,290958.19,17.40M,-0.57
"Nov 13, 2017",292628.69,292628.69,292628.69,292628.69,13.89M,0.14
"Nov 10, 2017",292220.69,292220.69,292220.69,292220.69,5.78M,0.03
"Nov 09, 2017",292127.31,292127.31,292127.31,292127.31,2.57M,0.05
"Nov 08, 2017",291975.69,291975.69,291975.69,291975.69,6.10M,-0.11
"Nov 07, 2017",292290.41,292290.41,292290.41,292290.41,8.83M,0.62
"Nov 06, 2017",290493.00,290493,290493,290493,894.42K,-0.41
"Nov 03, 2017",291690.31,291690.31,291690.31,291690.31,4.12M,-0.45
"Nov 02, 2017",293005.09,293005.09,293005.09,293005.09,7.36M,0.77
"Nov 01, 2017",290767.50,290767.5,290767.5,290767.5,2.93M,-0.73
"Oct 31, 2017",292895.09,292895.09,292895.09,292895.09,7.57M,-0.66
"Oct 30, 2017",294842.50,294842.5,294842.5,294842.5,1.99M,0.81
"Oct 27, 2017",292467.41,292467.41,292467.41,292467.41,2.10M,1.48
"Oct 26, 2017",288209.59,288209.59,288209.59,288209.59,3.02M,-0.36
"Oct 25, 2017",289238.09,289238.09,289238.09,289238.09,3.98M,0.24
"Oct 24, 2017",288546.19,288546.19,288546.19,288546.19,10.92M,0.5
"Oct 23, 2017",287104.41,287104.41,287104.41,287104.41,2.06M,0.36
"Oct 20, 2017",286080.91,286080.91,286080.91,286080.91,5.16M,2.62
"Oct 19, 2017",278765.59,278765.59,278765.59,278765.59,3.44M,0.54
"Oct 18, 2017",277280.19,277280.19,277280.19,277280.19,2.34M,0.61
"Oct 17, 2017",275610.19,275610.19,275610.19,275610.19,3.29M,0.71
"Oct 13, 2017",273664.81,273664.81,273664.81,273664.81,4.50M,1.82
"Oct 12, 2017",268765.91,268765.91,268765.91,268765.91,94.55M,-1.09
"Oct 11, 2017",271723.00,271723,271723,271723,2.99M,-0.07
"Oct 10, 2017",271905.00,271905,271905,271905,5.51M,-0.22
"Oct 09, 2017",272505.91,272505.91,272505.91,272505.91,311.00M,0.45
"Oct 06, 2017",271290.19,271290.19,271290.19,271290.19,5.26M,0.73
"Oct 05, 2017",269335.69,269335.69,269335.69,269335.69,3.82M,0.18
"Oct 04, 2017",268864.81,268864.81,268864.81,268864.81,4.32M,0.32
"Oct 03, 2017",268018.41,268018.41,268018.41,268018.41,78.67M,0.86
"Oct 02, 2017",265736.19,265736.19,265736.19,265736.19,13.62M,1.14
"Sep 29, 2017",262729.09,262729.09,262729.09,262729.09,5.01M,1.22
"Sep 28, 2017",259560.59,259560.59,259560.59,259560.59,11.26M,1.02
"Sep 27, 2017",256951.70,256951.7,256951.7,256951.7,4.72M,0.04
"Sep 26, 2017",256854.41,256854.41,256854.41,256854.41,4.43M,-1.21
"Sep 25, 2017",260005.80,260005.8,260005.8,260005.8,1.99M,-0.3
"Sep 22, 2017",260789.09,260789.09,260789.09,260789.09,1.97M,0.2
"Sep 21, 2017",260268.00,260268,260268,260268,3.00M,-1.2
"Sep 20, 2017",263432.09,263432.09,263432.09,263432.09,1.83M,0.18
"Sep 19, 2017",262966.69,262966.69,262966.69,262966.69,5.76M,1.52
"Sep 18, 2017",259041.09,259041.09,259041.09,259041.09,4.57M,2.66
"Sep 15, 2017",252332.20,252332.2,252332.2,252332.2,58.67M,-3.96
"Sep 13, 2017",262723.50,262723.5,262723.5,262723.5,2.29M,0.34
"Sep 12, 2017",261830.50,261830.5,261830.5,261830.5,2.31M,-1.57
"Sep 11, 2017",266015.19,266015.19,266015.19,266015.19,4.73M,0.22
"Sep 08, 2017",265436.50,265436.5,265436.5,265436.5,6.67M,-0.63
"Sep 07, 2017",267126.09,267126.09,267126.09,267126.09,4.33M,0.91
"Sep 06, 2017",264714.59,264714.59,264714.59,264714.59,3.18M,-0.27
"Sep 05, 2017",265434.91,265434.91,265434.91,265434.91,3.06M,1.13
"Sep 04, 2017",262456.50,262456.5,262456.5,262456.5,9.38M,-0.41
"Sep 01, 2017",263536.91,263536.91,263536.91,263536.91,1.35M,3.1
"Aug 31, 2017",255619.55,255619.55,255619.55,255619.55,5.06M,-0.09
"Aug 30, 2017",255849.80,255849.8,255849.8,255849.8,4.84M,0.47
"Aug 29, 2017",254648.00,254648,254648,254648,3.87M,0.43
"Aug 28, 2017",253569.91,253569.91,253569.91,253569.91,3.60M,-0.16
"Aug 25, 2017",253982.09,253982.09,253982.09,253982.09,2.20M,0.04
"Aug 24, 2017",253884.80,253884.8,253884.8,253884.8,4.24M,2.38
"Aug 23, 2017",247991.80,247991.8,247991.8,247991.8,12.79M,-1.8
"Aug 22, 2017",252530.09,252530.09,252530.09,252530.09,1.81M,0.37
"Aug 21, 2017",251590.91,251590.91,251590.91,251590.91,2.16M,0.04
"Aug 18, 2017",251498.30,251498.3,251498.3,251498.3,7.94M,0.08
"Aug 16, 2017",251290.09,251290.09,251290.09,251290.09,2.50M,-0.51
"Aug 15, 2017",252576.30,252576.3,252576.3,252576.3,3.70M,0.97
"Aug 14, 2017",250156.50,250156.5,250156.5,250156.5,6.32M,-1.39
"Aug 10, 2017",253687.30,253687.3,253687.3,253687.3,1.37M,0.93
"Aug 09, 2017",251348.00,251348,251348,251348,1.81M,-0.82
"Aug 08, 2017",253433.59,253433.59,253433.59,253433.59,909.09K,1.94
"Aug 04, 2017",248609.80,248609.8,248609.8,248609.8,2.49M,0.9
"Aug 03, 2017",246383.80,246383.8,246383.8,246383.8,3.10M,0.68
"Aug 02, 2017",244726.41,244726.41,244726.41,244726.41,7.90M,0.71
"Jul 31, 2017",243002.00,243002,243002,243002,24.17M,0.58
"Jul 28, 2017",241606.20,241606.2,241606.2,241606.2,2.41M,0.27
"Jul 27, 2017",240950.41,240950.41,240950.41,240950.41,4.01M,1.34
"Jul 26, 2017",237760.50,237760.5,237760.5,237760.5,2.97M,1.31
"Jul 25, 2017",234680.30,234680.3,234680.3,234680.3,2.85M,0.36
"Jul 24, 2017",233842.91,233842.91,233842.91,233842.91,1.92M,0.24
"Jul 21, 2017",233273.80,233273.8,233273.8,233273.8,1.93M,0.74
"Jul 20, 2017",231560.30,231560.3,231560.3,231560.3,1.52M,-0.03
"Jul 19, 2017",231629.50,231629.5,231629.5,231629.5,1.67M,-0.65
"Jul 18, 2017",233150.70,233150.7,233150.7,233150.7,5.69M,-0.01
"Jul 17, 2017",233174.00,233174,233174,233174,994.22K,-0.19
"Jul 14, 2017",233606.59,233606.59,233606.59,233606.59,4.29M,-0.55
"Jul 13, 2017",234909.30,234909.3,234909.3,234909.3,1.29M,-0.25
"Jul 12, 2017",235500.30,235500.3,235500.3,235500.3,2.77M,1
"Jul 11, 2017",233168.80,233168.8,233168.8,233168.8,4.34M,0.5
"Jul 10, 2017",232013.44,232013.44,232013.44,232013.44,1.99M,0.16
"Jul 07, 2017",231638.16,231638.16,231638.16,231638.16,3.95M,-2.01
"Jul 06, 2017",236382.44,236382.44,236382.44,236382.44,1.50M,-0.07
"Jul 05, 2017",236557.56,236557.56,236557.56,236557.56,5.51M,0.05
"Jul 04, 2017",236442.20,236442.2,236442.2,236442.2,3.08M,-0.13
"Jul 03, 2017",236747.86,236747.86,236747.86,236747.86,2.90M,0.73
"Jun 30, 2017",235042.84,235042.84,235042.84,235042.84,1.53M,0.66
"Jun 29, 2017",233490.19,233490.19,233490.19,233490.19,797.67K,-0.79
"Jun 28, 2017",235347.03,235347.03,235347.03,235347.03,1.70M,-0.4
"Jun 27, 2017",236299.73,236299.73,236299.73,236299.73,2.12M,0.35
"Jun 26, 2017",235480.98,235480.98,235480.98,235480.98,1.71M,-0.06
"Jun 23, 2017",235631.80,235631.8,235631.8,235631.8,2.16M,0.38
"Jun 22, 2017",234736.94,234736.94,234736.94,234736.94,39.79M,-0.69
"Jun 21, 2017",236379.45,236379.45,236379.45,236379.45,2.29M,0.48
"Jun 20, 2017",235245.63,235245.63,235245.63,235245.63,3.51M,-0.37
"Jun 19, 2017",236124.47,236124.47,236124.47,236124.47,2.73M,1.02
"Jun 16, 2017",233730.61,233730.61,233730.61,233730.61,4.27M,-0.09
"Jun 15, 2017",233940.00,233940,233940,233940,12.64M,-0.83
"Jun 14, 2017",235903.63,235903.63,235903.63,235903.63,5.15M,0.18
"Jun 13, 2017",235479.09,235479.09,235479.09,235479.09,11.85M,0.07
"Jun 12, 2017",235325.03,235325.03,235325.03,235325.03,5.15M,-0.9
"Jun 09, 2017",237456.38,237456.38,237456.38,237456.38,3.65M,-0.12
"Jun 08, 2017",237743.45,237743.45,237743.45,237743.45,6.89M,-0.59
"Jun 07, 2017",239160.77,239160.77,239160.77,239160.77,5.39M,0.13
"Jun 06, 2017",238852.47,238852.47,238852.47,238852.47,2.00M,-0.24
"Jun 05, 2017",239417.81,239417.81,239417.81,239417.81,1.06M,-0.45
"Jun 02, 2017",240509.05,240509.05,240509.05,240509.05,3.77M,0.84
"Jun 01, 2017",238508.91,238508.91,238508.91,238508.91,2.28M,-0.26
"May 31, 2017",239129.63,239129.63,239129.63,239129.63,1.78M,1.07
"May 19, 2017",236604.38,236604.38,236604.38,236604.38,1.83M,-0.1
"May 18, 2017",236830.98,236830.98,236830.98,236830.98,14.04M,-1.63
"May 17, 2017",240759.97,240759.97,240759.97,240759.97,2.07M,0.29
"May 16, 2017",240052.78,240052.78,240052.78,240052.78,115.97M,0.58
"May 15, 2017",238675.27,238675.27,238675.27,238675.27,4.67M,0.08
"May 12, 2017",238480.84,238480.84,238480.84,238480.84,4.92M,0.33
"May 11, 2017",237691.95,237691.95,237691.95,237691.95,3.54M,0.12
"May 10, 2017",237400.70,237400.7,237400.7,237400.7,6.35M,1.26
"May 09, 2017",234437.06,234437.06,234437.06,234437.06,5.20M,-0.11
"May 08, 2017",234695.22,234695.22,234695.22,234695.22,2.88M,-0.06
"May 05, 2017",234827.09,234827.09,234827.09,234827.09,4.84M,0.28
"May 04, 2017",234168.36,234168.36,234168.36,234168.36,3.98M,0.69
"May 03, 2017",232574.55,232574.55,232574.55,232574.55,6.52M,1.25
"May 02, 2017",229698.77,229698.77,229698.77,229698.77,3.50M,0.05
"May 01, 2017",229587.88,229587.88,229587.88,229587.88,6.54M,-0.79
"Apr 28, 2017",231419.05,231419.05,231419.05,231419.05,6.99M,2.85
"Apr 27, 2017",224999.11,224999.11,224999.11,224999.11,7.31M,-0.38
"Apr 26, 2017",225857.98,225857.98,225857.98,225857.98,2.67M,-0.41
"Apr 25, 2017",226788.69,226788.69,226788.69,226788.69,5.51M,-1.18
"Apr 24, 2017",229485.66,229485.66,229485.66,229485.66,1.89M,0.44
"Apr 21, 2017",228480.66,228480.66,228480.66,228480.66,2.91M,0.54
"Apr 20, 2017",227264.13,227264.13,227264.13,227264.13,0,-0.36
"Apr 19, 2017",228084.59,228084.59,228084.59,228084.59,4.00M,0.66
"Apr 18, 2017",226599.78,226599.78,226599.78,226599.78,4.46M,0.15
"Apr 13, 2017",226255.30,226255.3,226255.3,226255.3,1.82M,-0.13
"Apr 12, 2017",226543.78,226543.78,226543.78,226543.78,1.28M,0.39
"Apr 11, 2017",225655.45,225655.45,225655.45,225655.45,2.04M,0.31
"Apr 10, 2017",224954.64,224954.64,224954.64,224954.64,13.79M,0.6
"Apr 06, 2017",223609.72,223609.72,223609.72,223609.72,93.83M,-1.81
"Apr 04, 2017",227721.20,227721.2,227721.2,227721.2,2.78M,1.05
"Apr 03, 2017",225354.50,225354.5,225354.5,225354.5,1.82M,0.68
"Mar 31, 2017",223833.56,223833.56,223833.56,223833.56,2.63M,0.45
"Mar 30, 2017",222831.63,222831.63,222831.63,222831.63,38.10M,-0.36
"Mar 29, 2017",223637.98,223637.98,223637.98,223637.98,2.98M,0.35
"Mar 28, 2017",222859.09,222859.09,222859.09,222859.09,5.72M,-0.27
"Mar 27, 2017",223453.67,223453.67,223453.67,223453.67,2.60M,0.34
"Mar 24, 2017",222698.73,222698.73,222698.73,222698.73,7.68M,0.37
"Mar 23, 2017",221867.94,221867.94,221867.94,221867.94,5.37M,0.09
"Mar 22, 2017",221678.95,221678.95,221678.95,221678.95,4.74M,-0.23
"Mar 21, 2017",222190.47,222190.47,222190.47,222190.47,7.38M,-0.87
"Mar 17, 2017",224136.77,224136.77,224136.77,224136.77,13.30M,-0.78
"Mar 16, 2017",225903.11,225903.11,225903.11,225903.11,4.65M,1.12
"Mar 15, 2017",223404.55,223404.55,223404.55,223404.55,1.96M,-1.08
"Mar 14, 2017",225846.59,225846.59,225846.59,225846.59,3.46M,-1.28
"Mar 13, 2017",228783.81,228783.81,228783.81,228783.81,2.43M,0.92
"Mar 10, 2017",226698.73,226698.73,226698.73,226698.73,0,-2.36
"Mar 09, 2017",232188.38,232188.38,232188.38,232188.38,90.13M,0.61
"Mar 08, 2017",230789.48,230789.48,230789.48,230789.48,5.76M,-0.64
"Mar 07, 2017",232282.36,232282.36,232282.36,232282.36,13.42M,0.59
"Mar 06, 2017",230929.67,230929.67,230929.67,230929.67,23.72M,-1.1
"Mar 03, 2017",233503.31,233503.31,233503.31,233503.31,42.70M,1.43
"Mar 02, 2017",230215.56,230215.56,230215.56,230215.56,6.32M,-0.33
"Feb 28, 2017",230967.92,230967.92,230967.92,230967.92,4.21M,-0.59
"Feb 27, 2017",232341.70,232341.7,232341.7,232341.7,2.73M,0.46
"Feb 24, 2017",231279.30,231279.3,231279.3,231279.3,3.48M,0.39
"Feb 23, 2017",230373.34,230373.34,230373.34,230373.34,4.35M,-0.94
"Feb 22, 2017",232566.36,232566.36,232566.36,232566.36,2.55M,0.29
