Date,Price,Open,High,Low,Vol.,Change %
"Nov 29, 2017",33602.76,33664.27,33728.81,33553.12,6.82K,-0.05
"Nov 28, 2017",33618.59,33726.65,33770.15,33576.65,8.26K,-0.31
"Nov 27, 2017",33724.44,33640.51,33745.17,33540.46,9.16K,0.13
"Nov 24, 2017",33679.24,33670.00,33738.53,33639.98,7.97K,0.27
"Nov 23, 2017",33588.08,33575.91,33670.19,33468.30,7.25K,0.08
"Nov 22, 2017",33561.55,33569.07,33654.53,33465.23,13.54K,0.25
"Nov 21, 2017",33478.35,33438.28,33625.05,33437.61,15.31K,0.36
"Nov 20, 2017",33359.90,33365.84,33449.53,33288.21,8.06K,0.05
"Nov 17, 2017",33342.80,33388.47,33520.82,33278.91,11.55K,0.71
"Nov 16, 2017",33106.82,32829.82,33165.15,32829.82,9.91K,1.06
"Nov 15, 2017",32760.44,32944.94,32944.94,32683.59,11.55K,-0.55
"Nov 14, 2017",32941.87,32990.03,33126.55,32907.11,12.43K,-0.28
"Nov 13, 2017",33033.56,33397.41,33417.30,32999.98,18.83K,-0.84
"Nov 10, 2017",33314.56,33235.75,33380.42,33108.09,21.92K,0.19
"Nov 09, 2017",33250.93,33376.62,33463.80,33111.54,14.49K,0.10
"Nov 08, 2017",33218.81,33417.35,33484.70,33157.68,291.82K,-0.46
"Nov 07, 2017",33370.76,33781.01,33865.95,33341.82,16.77K,-1.07
"Nov 06, 2017",33731.19,33710.15,33848.42,33582.38,13.53K,0.14
"Nov 03, 2017",33685.56,33667.34,33733.71,33531.94,205.90K,0.33
"Nov 02, 2017",33573.22,33615.84,33657.57,33527.00,12.84K,-0.08
"Nov 01, 2017",33600.27,33344.23,33651.52,33340.62,14.63K,1.17
"Oct 31, 2017",33213.13,33254.93,33294.30,33164.28,11.91K,-0.16
"Oct 30, 2017",33266.16,33260.10,33340.17,33206.93,14.42K,0.33
"Oct 27, 2017",33157.22,33228.32,33286.51,33109.41,18.92K,0.03
"Oct 26, 2017",33147.13,33025.17,33196.17,32835.06,16.01K,0.32
"Oct 25, 2017",33042.50,32995.28,33117.33,32804.60,30.82K,1.33
"Oct 24, 2017",32607.34,32619.26,32670.37,32502.08,8.74K,0.31
